year,region,EV sales,EV stock,EV stock share
2010,China,1440.0,1940.0,0.003100000089034
2010,Europe,1837.0,9903.0,0.003899999894202
2010,United States,1200.0,3800.0,0.001700000022538
2010,World,7479.0,20445.0,0.002300000051036
2011,China,5120.0,6960.0,0.009200000204146
2011,Europe,11448.0,20588.0,0.00789999961853
2011,United States,17800.0,22000.0,0.009899999946356
2011,World,49038.0,67583.0,0.007499999832362
2012,China,9860.0,16920.0,0.018999999389052
2012,Europe,28229.0,46810.0,0.01799999922514
2012,United States,54000.0,75000.0,0.034000001847744
2012,World,120030.0,190110.0,0.019999999552965
2013,China,15730.0,32600.0,0.030999999493361
2013,Europe,59042.0,104130.0,0.03999999910593
2013,United States,97000.0,172000.0,0.078000001609325
2013,World,201046.0,390140.0,0.03999999910593
2014,China,73000.0,85000.0,0.070000000298023
2014,Europe,96032.0,200150.0,0.074000000953674
2014,United States,118055.0,290055.0,0.140000000596046
2014,World,330094.0,710210.0,0.071000002324581
2015,China,211000.0,297000.0,0.209999993443489
2015,Europe,189190.0,380340.0,0.140000000596046
2015,United States,114100.0,400160.0,0.189999997615814
2015,World,550710.0,1250910.0,0.119999997317791
2016,China,339000.0,630000.0,0.389999985694885
2016,Europe,213180.0,590540.0,0.219999998807907
2016,United States,161100.0,571200.0,0.259999990463257
2016,World,762400.0,2013300.0,0.189999997615814
2017,China,580000.0,1210000.0,0.660000026226044
2017,Europe,300340.0,880890.0,0.310000002384186
2017,United States,196300.0,763500.0,0.330000013113022
2017,World,1183500.0,3106800.0,0.280000001192093
2018,China,1090000.0,2240000.0,1.10000002384186
2018,Europe,400280.0,1251000.0,0.449999988079071
2018,United States,362700.0,1126200.0,0.479999989271164
2018,World,2064500.0,5211000.0,0.439999997615814
2019,China,1060000.0,3370000.0,1.5
2019,Europe,580610.0,1771700.0,0.610000014305115
2019,United States,327000.0,1458200.0,0.620000004768372
2019,World,2087500.0,7219000.0,0.600000023841858
2020,China,1140000.0,4490000.0,1.89999997615814
2020,Europe,1400740.0,3102400.0,1.10000002384186
2020,United States,295200.0,1749200.0,0.769999980926514
2020,World,2987400.0,10226000.0,0.839999973773956
2021,China,3250019.0,7800019.0,3.09999990463257
2021,Europe,2300960.0,5403400.0,1.79999995231628
2021,United States,633100.0,2232000.0,0.949999988079071
2021,World,6616000.0,16342000.0,1.29999995231628
2022,China,5900240.0,14100240.0,5.09999990463257
2022,Europe,2701300.0,7804700.0,2.70000004768372
2022,United States,992700.0,3025000.0,1.29999995231628
2022,World,10215000.0,26057000.0,2.09999990463257
2023,China,8100520.0,21800760.0,7.59999990463257
2023,Europe,3300820.0,11205500.0,3.79999995231628
2023,United States,1393000.0,4818000.0,2.09999990463257
2023,World,13808900.0,40066000.0,3.20000004768372
